isic_rev31_4dig;isic_rev4_4dig;isic_rev31_secdig;isic_rev31_1dig;isic_rev31_2dig;isic_rev31_3dig;isic_rev4_secdig;isic_rev4_1dig;isic_rev4_2dig;isic_rev4_3dig
111;111;"A";0;1;11;"A";0;1;11
111;112;"A";0;1;11;"A";0;1;11
111;113;"A";0;1;11;"A";0;1;11
111;114;"A";0;1;11;"A";0;1;11
111;115;"A";0;1;11;"A";0;1;11
111;116;"A";0;1;11;"A";0;1;11
111;119;"A";0;1;11;"A";0;1;11
111;126;"A";0;1;11;"A";0;1;12
111;128;"A";0;1;11;"A";0;1;12
111;129;"A";0;1;11;"A";0;1;12
111;163;"A";0;1;11;"A";0;1;16
112;113;"A";0;1;11;"A";0;1;11
112;119;"A";0;1;11;"A";0;1;11
112;125;"A";0;1;11;"A";0;1;12
112;128;"A";0;1;11;"A";0;1;12
112;129;"A";0;1;11;"A";0;1;12
112;130;"A";0;1;11;"A";0;1;13
112;230;"A";0;1;11;"A";0;2;23
113;121;"A";0;1;11;"A";0;1;12
113;122;"A";0;1;11;"A";0;1;12
113;123;"A";0;1;11;"A";0;1;12
113;124;"A";0;1;11;"A";0;1;12
113;125;"A";0;1;11;"A";0;1;12
113;126;"A";0;1;11;"A";0;1;12
113;127;"A";0;1;11;"A";0;1;12
113;128;"A";0;1;11;"A";0;1;12
113;230;"A";0;1;11;"A";0;2;23
113;1102;"A";0;1;11;"C";1;11;110
121;141;"A";0;1;12;"A";0;1;14
121;142;"A";0;1;12;"A";0;1;14
121;144;"A";0;1;12;"A";0;1;14
122;143;"A";0;1;12;"A";0;1;14
122;145;"A";0;1;12;"A";0;1;14
122;146;"A";0;1;12;"A";0;1;14
122;149;"A";0;1;12;"A";0;1;14
122;321;"A";0;1;12;"A";0;3;32
122;322;"A";0;1;12;"A";0;3;32
130;150;"A";0;1;13;"A";0;1;15
140;161;"A";0;1;14;"A";0;1;16
140;162;"A";0;1;14;"A";0;1;16
140;163;"A";0;1;14;"A";0;1;16
140;164;"A";0;1;14;"A";0;1;16
140;8130;"A";0;1;14;"N";8;81;813
150;170;"A";0;1;15;"A";0;1;17
150;9499;"A";0;1;15;"S";9;94;949
200;129;"A";0;2;20;"A";0;1;12
200;130;"A";0;2;20;"A";0;1;13
200;210;"A";0;2;20;"A";0;2;21
200;220;"A";0;2;20;"A";0;2;22
200;230;"A";0;2;20;"A";0;2;23
200;240;"A";0;2;20;"A";0;2;24
501;311;"B";0;5;50;"A";0;3;31
501;312;"B";0;5;50;"A";0;3;31
502;321;"B";0;5;50;"A";0;3;32
502;322;"B";0;5;50;"A";0;3;32
1010;510;"C";1;10;101;"B";0;5;51
1010;990;"C";1;10;101;"B";0;9;99
1010;1920;"C";1;10;101;"C";1;19;192
1020;520;"C";1;10;102;"B";0;5;52
1020;990;"C";1;10;102;"B";0;9;99
1020;1920;"C";1;10;102;"C";1;19;192
1030;892;"C";1;10;103;"B";0;8;89
1030;990;"C";1;10;103;"B";0;9;99
1110;610;"C";1;11;111;"B";0;6;61
1110;620;"C";1;11;111;"B";0;6;62
1110;910;"C";1;11;111;"B";0;9;91
